dataset,fold,metric,k,vote,retention,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,3,euclidean,5,modified_plurality,never_retain,43958,4884,0.0052651000005425885,111.96450390000246,111.969769000003,0.8316953316953317,0.7716423362071048,0.7487968540336494,0.7588742071881607,0.825902986031219,0.8316953316953317,0.8280054386502589,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3373, 343], [479, 689]]}"
adult,3,euclidean,7,modified_plurality,never_retain,43958,4884,0.00521820000722073,112.00369739999587,112.00891560000309,0.8400900900900901,0.7845301765274714,0.759303530088326,0.7703822694170922,0.8344831263360643,0.8400900900900901,0.8363858097644719,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3397, 319], [462, 706]]}"
adult,4,euclidean,3,modified_plurality,never_retain,43957,4885,0.0053035999881103635,113.47237690001202,113.47768050000013,0.81985670419652,0.7536343621068743,0.7355980795597794,0.7436866103144495,0.8143282467064884,0.81985670419652,0.816538742915889,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3334, 382], [498, 671]]}"
adult,4,euclidean,5,modified_plurality,never_retain,43957,4885,0.005400800000643358,113.11467300000368,113.12007380000432,0.8266120777891505,0.7649257842991035,0.7379861989077359,0.7495269876582447,0.8196125192518183,0.8266120777891505,0.821975594508214,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3374, 342], [505, 664]]}"
adult,4,euclidean,7,modified_plurality,never_retain,43957,4885,0.004967699991539121,112.4739619000029,112.47892959999444,0.8407369498464687,0.7878908172492805,0.7534267924246847,0.7678648301716046,0.8338761605103117,0.8407369498464687,0.8356782349256707,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3422, 294], [484, 685]]}"
adult,5,euclidean,3,modified_plurality,never_retain,43958,4884,0.005332600005203858,112.70446579999407,112.70979839999927,0.8192055692055692,0.7533886633204386,0.7282608895999528,0.7390369987619819,0.8119027862078471,0.8192055692055692,0.8144967392460087,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3354, 362], [521, 647]]}"
adult,5,euclidean,5,modified_plurality,never_retain,43958,4884,0.005188299997826107,112.17112699999416,112.17631529999198,0.8241195741195741,0.7608835320822277,0.735012515298524,0.7461299908681116,0.8171031535445998,0.8241195741195741,0.8195387304782802,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3366, 350], [509, 659]]}"
adult,5,euclidean,7,modified_plurality,never_retain,43958,4884,0.005218499994953163,111.83303950000845,111.8382580000034,0.8286240786240786,0.7686087673137587,0.7376791586180456,0.7506627439487237,0.821086122570689,0.8286240786240786,0.8234000126242287,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3389, 327], [510, 658]]}"
adult,6,euclidean,3,modified_plurality,never_retain,43958,4884,0.005434599996078759,113.38254799999413,113.38798259999021,0.8147010647010647,0.7459511836025152,0.7298744944258762,0.7371390041312403,0.8093704579782062,0.8147010647010647,0.8115728549457043,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3316, 399], [506, 663]]}"
adult,6,euclidean,5,modified_plurality,never_retain,43958,4884,0.005316499999025837,113.28277250000974,113.28808900000877,0.8194103194103194,0.7538379146200471,0.7288662820484775,0.7395883408375368,0.812170319440464,0.8194103194103194,0.8147461653369098,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3353, 362], [520, 649]]}"
