dataset,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,7,10,43958,4884,0.06154830000014044,47.76359489999595,47.82514319999609,0.7972972972972973,0.720604325242413,0.6809884505360013,0.6954897446103153,0.783641000337847,0.7972972972972973,0.7873472673604677,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3359, 357], [633, 535]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,8,10,43958,4884,0.06032310001319274,47.690331199992215,47.75065430000541,0.790950040950041,0.7100717871214983,0.6694790760428802,0.6838104733638551,0.775743485896236,0.790950040950041,0.7798328505040596,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3353, 363], [658, 510]]}"
adult,cosine,7,borda,RetentionPolicy.DIFFERENT_CLASS_RETENTION,9,10,43957,4885,0.0663477000198327,47.80962569999974,47.875973400019575,0.7825997952917093,0.6967768168631041,0.6670641083157907,0.6783566813712021,0.7691730648249205,0.7825997952917093,0.7737535619636835,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3302, 413], [649, 521]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,0,10,43958,4884,0.0662906999932602,50.726816200010944,50.793106900004204,0.7833742833742834,0.6982783132628727,0.672934615291624,0.6830274067792618,0.7717204623827546,0.7833742833742834,0.7759979845852754,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3287, 428], [630, 539]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,1,10,43959,4883,0.06217729998752475,51.14184780002688,51.204025100014405,0.7804628302273193,0.6935673347899053,0.669058703147182,0.6788146533739772,0.7686683958279417,0.7804628302273193,0.7730621620909275,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3279, 436], [636, 532]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,2,10,43957,4885,0.06580630000098608,51.09632969999802,51.16213599999901,0.7873080859774821,0.7052399928521277,0.6865542786807928,0.6945471394127751,0.7788093119799991,0.7873080859774821,0.7822427594005831,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3269, 446], [593, 577]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,3,10,43958,4884,0.06523379997815937,51.5706623000151,51.63589609999326,0.7864455364455365,0.7029602136899815,0.6776730023445449,0.6878369004961322,0.7752649731669202,0.7864455364455365,0.7793687053774008,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3293, 423], [620, 548]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,4,10,43957,4885,0.06039190001320094,51.24811200000113,51.30850390001433,0.7875127942681679,0.7045930507877379,0.6756411826508447,0.6869182156629619,0.7752037450855164,0.7875127942681679,0.7794477901329726,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3308, 408], [630, 539]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,5,10,43958,4884,0.06266009999671951,51.526609499996994,51.58926959999371,0.7766175266175266,0.6868911478472592,0.6597668173171919,0.6701232124573085,0.7630479809940418,0.7766175266175266,0.7679060998375736,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3284, 432], [659, 509]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,6,10,43958,4884,0.06517210000311024,52.317843099997845,52.383015200000955,0.7874692874692875,0.705094713283494,0.683833947179665,0.6927242893177277,0.7779667306139423,0.7874692874692875,0.7816699992343469,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3279, 436], [602, 567]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,7,10,43958,4884,0.0632935999892652,51.08631909999531,51.14961269998457,0.7927927927927928,0.7129099606341751,0.6797894517598833,0.6924202811861284,0.7800410478176044,0.7927927927927928,0.7840866466247595,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3331, 385], [627, 541]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,8,10,43958,4884,0.06538939999882132,50.86061269999482,50.92600209999364,0.7882882882882883,0.7056051371826728,0.6744810482622352,0.6863864669498472,0.7753656236121789,0.7882882882882883,0.7796500591805757,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3317, 399], [635, 533]]}"
adult,cosine,5,borda,RetentionPolicy.ALWAYS_RETAIN,9,10,43957,4885,0.06242329999804497,51.152778499992564,51.21520179999061,0.7762538382804504,0.6878081048324913,0.6669904867078488,0.6754999303814204,0.7654536348859774,0.7762538382804504,0.7697022432407264,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3257, 458], [635, 535]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,0,10,43958,4884,0.0674777000094764,48.14625189997605,48.21372959998553,0.7835790335790336,0.6985348919311183,0.672482951804524,0.6827918023881241,0.7716843461998996,0.7835790335790336,0.7760007710085584,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3290, 425], [632, 537]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,1,10,43959,4883,0.06095060001825914,48.13837979998789,48.19933040000615,0.7814867909072292,0.6952601309526,0.671199114106086,0.6808501619436298,0.7700368769193826,0.7814867909072292,0.774329919044391,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3279, 436], [631, 537]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,2,10,43957,4885,0.061133400013204664,49.72220589997596,49.783339299989166,0.7868986693961105,0.7046217677012352,0.6859923387514235,0.6939591647051963,0.7783782716862503,0.7868986693961105,0.7818235924311906,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3268, 447], [594, 576]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,3,10,43958,4884,0.0642554999794811,49.19435760000488,49.25861309998436,0.7864455364455365,0.7028988573007549,0.6767924156185028,0.6872048094449925,0.7749628175109455,0.7864455364455365,0.7791224293640714,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3296, 420], [623, 545]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,4,10,43957,4885,0.06370259998948313,48.85571830000845,48.91942089999793,0.7860798362333674,0.7022281638965764,0.6723540079613186,0.6838323018769856,0.7732053022953158,0.7860798362333674,0.7775776114542731,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3309, 407], [638, 531]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,5,10,43958,4884,0.06353929999750108,48.79552709998097,48.859066399978474,0.776003276003276,0.6857151700231099,0.6576019840158072,0.6681883895968403,0.7618920223533958,0.776003276003276,0.7668637956900868,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3287, 429], [665, 503]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,6,10,43958,4884,0.06298940000124276,48.56000309999217,48.622992499993416,0.7878787878787878,0.7056335935269042,0.6832237467000243,0.6925064247730303,0.7779889027252096,0.7878787878787878,0.7817777617095225,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3284, 431], [605, 564]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,7,10,43958,4884,0.06462620000820607,48.74076459999196,48.80539080000017,0.7925880425880426,0.7125653402085516,0.6805354852028253,0.6928619766361171,0.7801259252526016,0.7925880425880426,0.7841670488766871,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3327, 389], [624, 544]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,8,10,43958,4884,0.06188480000128038,49.22263980002026,49.28452460002154,0.7886977886977887,0.7062409812409812,0.6738695681023932,0.6861235685810707,0.7754438618074981,0.7886977886977887,0.779733566022832,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3322, 394], [638, 530]]}"
adult,cosine,5,borda,RetentionPolicy.DD_RETENTION,9,10,43957,4885,0.06204340001568198,49.24466820000089,49.30671160001657,0.7770726714431935,0.6890266118746169,0.6678216056412557,0.6764733231653084,0.7662147695053532,0.7770726714431935,0.7704620681606158,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3260, 455], [634, 536]]}"
