config_id,kernel,c,gamma,degree,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,5,10,43958,4884,19.963196992874146,4.516530990600586,24.47972798347473,0.8312858312858313,0.8024204567636151,0.6927572548181135,0.7220248753730933,0.8229878433079684,0.8312858312858313,0.8129448347674945,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3561, 155], [669, 499]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,6,10,43958,4884,20.165016651153564,4.512073993682861,24.677090644836426,0.8282145782145782,0.7955171848320644,0.6892190239785763,0.717561515354723,0.8188489010741833,0.8282145782145782,0.8097181061434673,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3551, 164], [675, 494]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,7,10,43958,4884,18.38590168952942,4.559993505477905,22.945895195007324,0.8271908271908271,0.7967014288365188,0.684195610982497,0.7128406159028257,0.8181856619689242,0.8271908271908271,0.807378039122108,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3561, 155], [689, 479]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,8,10,43958,4884,20.499207258224487,4.547372341156006,25.046579599380493,0.8298525798525799,0.8031043995047031,0.687412448206202,0.7168988139211763,0.8219211757405921,0.8298525798525799,0.8101909356693826,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3569, 147], [684, 484]]}"
svm-rbf-c0.1-g0.1-d3,rbf,0.1,0.1,3,9,10,43957,4885,18.10699963569641,4.558100461959839,22.66510009765625,0.8294779938587513,0.8008755663391267,0.6888095155928265,0.7179264220862813,0.8211015118899587,0.8294779938587513,0.810341379820961,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3562, 153], [680, 490]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,0,10,43958,4884,12.233664274215698,3.7833118438720703,16.01697611808777,0.8513513513513513,0.8176427676249977,0.7463447264287038,0.77176982492276,0.8442790352126129,0.8513513513513513,0.8420245289058368,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3521, 194], [532, 637]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,1,10,43959,4883,12.240895986557007,3.797307014465332,16.03820300102234,0.8437436002457506,0.8054341733490431,0.7338327817622006,0.7587788765309283,0.8354662171489551,0.8437436002457506,0.8334528417833964,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3509, 206], [557, 611]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,2,10,43957,4885,12.086202383041382,3.7632694244384766,15.849471807479858,0.8466734902763562,0.8072918120452557,0.7431508897861523,0.7665375993296657,0.8388194531582317,0.8466734902763562,0.8377975023552868,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3499, 216], [533, 637]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,3,10,43958,4884,12.141701221466064,3.7910983562469482,15.932799577713013,0.8478705978705978,0.8095522263221049,0.74386953123848,0.7677158189625788,0.8401588754461049,0.8478705978705978,0.8389024263720011,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3505, 211], [532, 636]]}"
svm-rbf-c1-g0.01-d3,rbf,1,0.01,3,4,10,43957,4885,12.058415412902832,3.786045789718628,15.84446120262146,0.8454452405322416,0.8020976939023162,0.7459676602507732,0.7672047738935319,0.8375183552004939,0.8454452405322416,0.8375714647582189,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3481, 235], [520, 649]]}"
